LV1 排序,LV1 English,LV1 簡中,LV1 繁中,LV2 排序,LV2 English,LV2 簡中,LV2 繁中,Class,Class English,Class 中文,MCH,MCH Name,MCH 中文
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102213,Fr Slice Beef Prime,鮮牛肉切片類USDA Prime
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102214,Fresh Slice Beef CAB,鮮黑毛牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102215,Fr Slice Beef Wagyu,鮮和牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102216,Fr Slice Beef JP Wag,鮮日本和牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102226,Frozen Slice Beef,凍牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102227,Frz Slce Beef Choice,凍牛肉切片類USDA Choice
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102228,Frz Slice Beef Prime,凍牛肉切片類USDA Prime
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102229,Frz Slice Beef CAB,凍黑毛牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102230,Frz Slice Beef Wagyu,凍和牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,24,lamb,羊肉類,20102403,Fresh Slice lamb,鮮切羊肉
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,24,lamb,羊肉類,20102404,Frozen slice lamb,凍切羊肉
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102216,Fr Slice Beef JP Wag,鮮日本和牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102226,Frozen Slice Beef,凍牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102227,Frz Slce Beef Choice,凍牛肉切片類USDA Choice
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102228,Frz Slice Beef Prime,凍牛肉切片類USDA Prime
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102229,Frz Slice Beef CAB,凍黑毛牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,22,Beef,牛肉類,20102230,Frz Slice Beef Wagyu,凍和牛牛肉切片類
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,24,lamb,羊肉類,20102403,Fresh Slice lamb,鮮切羊肉
5,Meat,肉类,肉類,5.6,Sliced Meat,切片肉,切片肉,24,lamb,羊肉類,20102404,Frozen slice lamb,凍切羊肉
5,Meat,肉类,肉類,5.7,Ready to Cook,预制肉品,預製肉品,29,Ready to Cook,肉類預製菜（生）,20102901,Chilled Deep Fried ,冷藏製炸物類
5,Meat,肉类,肉類,5.7,Ready to Cook,预制肉品,預製肉品,29,Ready to Cook,肉類預製菜（生）,20102902,Chilled Dish Meat,冷藏肉類菜餚類
5,Meat,肉类,肉類,5.7,Ready to Cook,预制肉品,預製肉品,29,Ready to Cook,肉類預製菜（生）,20102903,Frozen Deep Fried ,凍預製炸物類
